id,difficulty,domain,spanish_text,english_text
61,advanced,frontend,El frontend usa renderizado del lado del servidor para mejorar el tiempo de carga inicial,The frontend uses server side rendering to improve the initial load time
62,advanced,frontend,La aplicacion divide el codigo en paquetes para cargar solo los modulos necesarios en cada vista,The application splits the code into bundles to load only the modules needed in each view
63,advanced,frontend,El equipo implementa internacionalizacion para soportar varios idiomas en todos los componentes de la interfaz,The team implements internationalization to support several languages across all interface components
64,advanced,frontend,La pagina administra el estado complejo con una libreria centralizada y acciones bien definidas,The page manages complex state with a centralized library and well defined actions
65,advanced,frontend,El formulario dinamico se construye a partir de un esquema de configuracion recibido desde el backend,The dynamic form is built from a configuration schema received from the backend
66,advanced,backend,El backend implementa un patron de repositorio para separar la logica de negocio de la persistencia,The backend implements a repository pattern to separate business logic from persistence
67,advanced,backend,El servicio de facturacion coordina varias transacciones en diferentes microservicios usando sagas,The billing service coordinates several transactions across different microservices using sagas
68,advanced,backend,La API usa autenticacion basada en tokens firmados digitalmente para cada solicitud del cliente,The API uses authentication based on digitally signed tokens for each client request
69,advanced,backend,El sistema aplica control de concurrencia optimista para evitar conflictos de escritura en la base de datos,The system applies optimistic concurrency control to avoid write conflicts in the database
70,advanced,backend,El microservicio de inventario publica eventos cuando cambia la cantidad disponible de un producto,The inventory microservice publishes events when the available quantity of a product changes
71,advanced,cloud,La arquitectura en la nube usa varias zonas de disponibilidad para mejorar la tolerancia a fallos,The cloud architecture uses multiple availability zones to improve fault tolerance
72,advanced,cloud,El sistema distribuye la carga globalmente usando un balanceador de trafico entre regiones,The system distributes the global load using a traffic balancer across regions
73,advanced,cloud,La plataforma configura auto escalado basado en metricas de uso como CPU memoria y latencia,The platform configures auto scaling based on usage metrics such as CPU memory and latency
74,advanced,cloud,El equipo define infraestructura como codigo para versionar toda la configuracion del entorno,The team defines infrastructure as code to version all environment configuration
75,advanced,cloud,El sistema ejecuta pruebas de carga periodicas para validar el rendimiento bajo alto trafico,The system runs periodic load tests to validate performance under high traffic
76,advanced,frontend,El frontend usa tecnicas de memoizacion para evitar renders innecesarios en componentes costosos,The frontend uses memoization techniques to avoid unnecessary renders in expensive components
77,advanced,frontend,La pagina aplica lazy loading de imagenes y recursos para optimizar el uso del ancho de banda,The page applies lazy loading of images and assets to optimize bandwidth usage
78,advanced,frontend,El cliente web mantiene una conexion estable con el servidor mediante websockets para actualizaciones en tiempo real,The web client keeps a stable connection with the server through websockets for real time updates
79,advanced,backend,El backend procesa trabajos intensivos en una cola distribuida para no bloquear las peticiones sincronas,The backend processes heavy jobs in a distributed queue to avoid blocking synchronous requests
80,advanced,backend,La API valida esquemas de entrada y salida para garantizar contratos claros entre servicios,The API validates input and output schemas to guarantee clear contracts between services
81,advanced,cloud,La base de datos usa particionamiento por rango para distribuir grandes volumenes de datos historicos,The database uses range partitioning to distribute large volumes of historical data
82,advanced,cloud,El sistema en la nube cifra los datos en reposo y en transito con claves gestionadas,The cloud system encrypts data at rest and in transit with managed keys
83,advanced,cloud,La plataforma usa un servicio de colas para desacoplar productores de eventos y consumidores,The platform uses a queue service to decouple event producers and consumers
84,advanced,cloud,El equipo configura paneles avanzados de observabilidad con metricas logs y trazas distribuidas,The team sets up advanced observability dashboards with metrics logs and distributed traces
85,advanced,cloud,El pipeline de integracion continua ejecuta pruebas unitarias de integracion y de contrato,The continuous integration pipeline runs unit integration and contract tests
86,advanced,frontend,El frontend maneja errores globales mostrando notificaciones consistentes en toda la aplicacion,The frontend handles global errors by showing consistent notifications across the application
87,advanced,frontend,La aplicacion aplica control de acceso basado en roles para limitar acciones en la interfaz,The application applies role based access control to limit actions in the interface
88,advanced,backend,El backend expone endpoints versionados para soportar clientes antiguos y nuevos al mismo tiempo,The backend exposes versioned endpoints to support old and new clients at the same time
89,advanced,backend,El servicio de auditoria registra eventos criticos con informacion de usuario y contexto de la solicitud,The audit service records critical events with user information and request context
90,advanced,backend,La API implementa reintentos con retroceso exponencial cuando falla una llamada externa,The API implements retries with exponential backoff when an external call fails
91,advanced,cloud,La solucion en la nube usa redes privadas para aislar servicios sensibles del trafico publico,The cloud solution uses private networks to isolate sensitive services from public traffic
92,advanced,cloud,El sistema ejecuta despliegues azules y verdes para reducir el tiempo de inactividad,The system performs blue green deployments to reduce downtime
93,advanced,cloud,La plataforma aplica politicas de retencion para eliminar datos antiguos de forma automatica,The platform applies retention policies to delete old data automatically
94,advanced,backend,El equipo documenta los servicios con especificaciones legibles por maquinas para generar clientes,The team documents services with machine readable specifications to generate clients
95,advanced,frontend,El frontend sincroniza el estado local con la cache del navegador para mejorar la experiencia offline,The frontend syncs local state with the browser cache to improve the offline experience
96,advanced,backend,La aplicacion agrupa varias peticiones pequenas en una sola llamada para reducir la latencia,The application batches several small requests into a single call to reduce latency
97,advanced,cloud,El sistema aplica limites estrictos de tiempo de respuesta para mantener acuerdos de servicio,The system applies strict response time limits to maintain service agreements
98,advanced,backend,El backend expone eventos de dominio que otros microservicios pueden consumir de forma asincrona,The backend exposes domain events that other microservices can consume asynchronously
99,advanced,cloud,El pipeline de despliegue aplica migraciones de base de datos antes de actualizar los servicios,The deployment pipeline applies database migrations before updating the services
100,advanced,cloud,La arquitectura completa se revisa periodicamente para reducir deuda tecnica y riesgos operativos,The entire architecture is reviewed periodically to reduce technical debt and operational risks
